comid,metric,p10,p25,p50,p75,p90,source,result_type
8058581,Peak_Dur_2,1,1,4,10,29,inferred,predicted
8058581,Peak_Dur_5,1,1,2,3,6,inferred,predicted
8058581,Peak_Fre_2,1,1,2,3,5,inferred,predicted
8058581,Peak_Fre_5,1,1,1,2,3,inferred,predicted
8058581,Peak_10,2137.67549754383,2684.32374381928,3779.73414794526,5145.109731685579,5896.509389933671,model,predicted
8058581,Peak_2,467.801076837148,669.850574490855,901.9641507575801,1245.49330648819,1401.8131798524898,model,predicted
8058581,Peak_5,1147.92886532916,1468.0992589395,1906.98369924457,2618.98876626065,2970.01791032037,model,predicted
8058581,DS_Dur_WS,118.786666666666,156.125,193.55,224.308333333334,244.33,model,predicted
8058581,DS_Mag_50,5.75178341142689,8.23573369526094,12.3692202114021,19.0568228123016,27.6610337400493,model,predicted
8058581,DS_Mag_90,12.9669713126855,18.0344178078241,28.4918169498877,44.1252424099927,63.5633309857133,model,predicted
8058581,DS_Tim,277,283.825,295.2625,307,323,model,predicted
8058581,FA_Dur,2,3,4,6,8,obs,predicted
8058581,FA_Mag,21.8016147476609,34.9968725557469,51.269977699922,102.526922249075,193.521627627276,model,predicted
8058581,FA_Tim,8.66333333333333,19,27.8625,43.1,53.5,model,predicted
8058581,Peak_Dur_10,1,1,1,2,4,obs,predicted
8058581,Peak_Fre_10,1,1,1,1,2,obs,predicted
8058581,SP_Dur,40.4416666666666,47.89375,58.4458333333334,69.6625,92.875,model,predicted
8058581,SP_Mag,270.541934537525,426.112843438426,679.611423601815,1012.17478656947,1220.97033769621,model,predicted
8058581,SP_ROC,0.03845705116239,0.0486334288519571,0.0625000000000001,0.0813201980740652,0.114111705288176,obs,predicted
8058581,SP_Tim,217,232,237.854166666667,244.75,254.758333333333,model,predicted
8058581,Wet_BFL_Dur,59.6125,77.7333333333333,106.95,146.3,183.1025,model,predicted
8058581,Wet_BFL_Mag_10,32.4787008223947,49.3478016726062,67.3424741915102,89.4327583396135,124.235841939451,model,predicted
8058581,Wet_BFL_Mag_50,98.9739710781099,139.530011421,193.048080839013,261.533586053623,341.072720457518,model,predicted
8058581,Wet_Tim,69.4125,98.1625,135.75,155.5,172.636666666667,model,predicted
