comid,p10,p25,p50,p75,p90,source,result_type,metric
21609533,174.2,194.5,214,228.5,238.8,observed,predicted,DS_Dur_WS
21609533,13.5,22.75,44,69,97.59999999999998,observed,predicted,DS_Mag_50
21609533,55.540000000000006,83.25,125,196.55,256.92,observed,predicted,DS_Mag_90
21609533,300,311.5,323,335,341,observed,predicted,DS_Tim
21609533,2,2,3,5,7,inferred,predicted,FA_Dur
21609533,49.828337417955645,78.96629693601173,165.00448037435888,321.48158768038155,564.7143014999579,observed,predicted,FA_Mag
21609533,1,15,33,50.5,64,observed,predicted,FA_Tim
21609533,4275,4275,4275,4275,4275,observed,predicted,Peak_10
21609533,2330,2330,2330,2330,2330,observed,predicted,Peak_2
21609533,3610,3610,3610,3610,3610,observed,predicted,Peak_5
21609533,1,1,1,2,4,inferred,predicted,Peak_Dur_10
21609533,1,4,13,29,47,inferred,predicted,Peak_Dur_2
21609533,1,1,2,5,12,inferred,predicted,Peak_Dur_5
21609533,1,1,1,1,1,inferred,predicted,Peak_Fre_10
21609533,1,1,2,3,5,inferred,predicted,Peak_Fre_2
21609533,1,1,1,2,3,inferred,predicted,Peak_Fre_5
21609533,45,57.25,69.5,78,89.7,observed,predicted,SP_Dur
21609533,1013,1352.5,1995,2445,3237,observed,predicted,SP_Mag
21609533,0.04,0.05,0.06,0.07,0.08,inferred,predicted,SP_ROC
21609533,232,245,255,265,272.7,observed,predicted,SP_Tim
21609533,62.3,73.75,84.5,98.5,115.4,observed,predicted,Wet_BFL_Dur
21609533,102.01,118.77,126.82,142.05,193.65,model,predicted,Wet_BFL_Mag_10
21609533,331.4000000000001,440.5,714,1072.5,1445.5,observed,predicted,Wet_BFL_Mag_50
21609533,141.60000000000005,154.75,168.5,178.25,189.7,observed,predicted,Wet_Tim
